,channel_name,subscribers,views,videos,channel_title,channel_id
210,Shaka Nice,3,376,15,Shaka Nice,UCg-P8vyXecX6LJQSJarWXFA
211,Ita Kristiana,124,5394,3,Ita Kristiana,UC5eQFATj5Ur9OGK_nx_ZQGQ
212,TECH HUSTLE CULTURE,12,110,8,TECH HUSTLE CULTURE,UCmpitZrU_yN6UfW7DROCc0Q
213,Ajay Govekar,0,0,0,Ajay Govekar,UCa4Wp4-rL--ktNVyjCzyo7Q
214,Great Learning,683000,86402577,1780,Great Learning,UCObs0kLIrDjX2LLSybqNaEA
215,joyal saju,1,16,1,joyal saju,UCa4SKi4a0fMB-htRSIBtc2Q
216,Alireza Nouri,0,0,0,Alireza Nouri,UCWBSl2e6c2C219jca1JJs-w
217,fintelics,2670,321711,303,fintelics,UCdmjjwVdTOJWb6WgE7XIFww
218,satyam kachhap,1,13,1,satyam kachhap,UCOYOa3cEHEhmGH_e1p0eVsg
219,daniel too,19,0,0,daniel too,UCZ_VAkiBbH9IoyNeHK_wnIQ
220,Estio Innovation & Development,3,421,6,Estio Innovation & Development,UCSqt8kvNee_1NLMwXnmIUuQ
221,Kyle Lei,0,40,2,Kyle Lei,UCnHlCliGzZna47Xu_I1g02g
222,Nuno Ribeiro,52,79,5,Nuno Ribeiro,UCaYb3VINVNo65ZgGehpJIZQ
223,Yassir El,1,4,1,Yassir El,UCf88Z0DZOEIztrMB5c5zFSw
224,Tal Seehra - Education,12,1970,175,Tal Seehra - Education,UCMhNUmiIVXl7_vDyy8xFIUA
225,Yeomens Yobs,646,7313,41,Yeomens Yobs,UCsBZoSb25JEuzZgp9QjRlSw
226,Ivo Castro,90,19561,15,Ivo Castro,UC9vnK-sdes5t4J-cfLNsnHA
227,Jackie,2,20,1,Jackie,UCI3UE1549CL7UZGvSBef4RA
228,Matthew Mccreight,0,0,0,Matthew Mccreight,UC5VBMzJJXrA9rlNoXpBTU5w
229,S P,0,0,0,S P,UC5AAiQEIvoH2NiMmvfJT5iw
230,Hedwig 89,85,194819,27,Hedwig 89,UC8dD_7nY33DO-kNYUchZaPg
231,mahesh joshi,5,195,3,mahesh joshi,UCwuzwIIUF5QuHyxTA8SY49g
232,Srushti,0,0,0,Srushti,UCbMRjQUw3DIT8dCSqb7cUsA
233,Vselena,148,30644,8,Vselena,UCCgTYgIPD9pvOwN-TCYRTIA
234,Kalpana's Creation,2,111,3,Kalpana's Creation,UCPnF40G2jQExH2gIDrit0Qw
235,Wang nina,0,0,0,Wang nina,UCtHZ-a3h-AnV7rVpvDfLIcw
236,j lang,0,6,1,j lang,UCevDhHcVyDOBGlTJeN8QmuA
237,Learning by Sharing,605,6886,16,Learning by Sharing,UCyQnTWOe2LKVTObihrzJBAg
238,viJai Singh,1,0,0,viJai Singh,UCd_xOJCRfQz_qmDWiqzJssw
239,Learnbay,5200,201357,534,Learnbay,UC-ntE_GnjjiUuKYqih9ENYA
240,Joelin Sinegal,2,0,0,Joelin Sinegal,UCuLmw_SLiJFbTvdIqvr_SGA
241,kumar shubham,0,0,0,kumar shubham,UCPbg5yeGs2-Q6eKntltT4OQ
242,Colin Magill,931,1409420,131,Colin Magill,UCpUgz61bKhfR9618Rnq5wOw
243,Руслан Османбеков,2,18,3,Руслан Османбеков,UCmwqisFDPXg334pSwAKYoTQ
244,Saida Sheikh Ahmed,1040,17612,34,Saida Sheikh Ahmed,UCazU6c1_pNopx6lh3XyHR7Q
245,Shelza Sharma,0,0,0,Shelza Sharma,UCJm9N5d-gdR1qYC8c0Mhspg
246,MZH,0,0,1,MZH,UCtHUxYXQ6cQ1hY-xZakI5bQ
247,Hamza Nisar,0,0,2,Hamza Nisar,UCsKnsMQqhJBNaGq7Jlym1dQ
248,impervious ajita,0,0,0,impervious ajita,UCyxbldiYFAvv27RsPCjZAsA
249,kalpataru7165,0,0,0,kalpataru7165,UClT2TjFY16Zp9vs6QAM6tUQ
250,DecentR,48,21,1,DecentR,UCFl_HpEElh6ZZ93OiC2A2rw
251,Pankaj Kalsarpe,0,0,0,Pankaj Kalsarpe,UCfza1pOHsQEm6wUEjB6tshQ
252,Laureano Nisenbaum,1350,40965,9,Laureano Nisenbaum,UC9bdASZIVvM4rDRBSO5IRUg
253,Sandipkumar Upadhyay,0,0,0,Sandipkumar Upadhyay,UCRy84VkGyf2eFhSFI6DEr7g
254,Joachim Isaac,33,1325,18,Joachim Isaac,UC2wfC0JXXWfJ13Fk0Y_CNJw
255,nishitha cr,0,0,0,nishitha cr,UC2Ozsso9s9Htq00OE8fkpYw
256,Aditya Rana,0,0,0,Aditya Rana,UC9ToNMcGQXf9J7Ew6UnvpfA
257,aditya wagh,0,0,0,aditya wagh,UCGnE0w8Pzfg4zlk1snwByoA
258,Stefany Del Villar,0,0,0,Stefany Del Villar,UCbs6YbbQ_hxJK0Y71WEqXeg
259,Fahil Ejaz,0,0,0,Fahil Ejaz,UCbftdODo3SN0tVD2vA_FhAQ
260,ShaikSameer24,1510,139172,247,ShaikSameer24,UCM9-lE2DayJLsSFqYaPeE0A
261,Thinking Neuron,422,20874,77,Thinking Neuron,UCqb03ZB4sRDvcT7O7DTI_Sg
