,channel_title,channel_id
328,Learn Data Engineering,UCY8mzqqGwl5_bTpBY9qLMAA
329,London Clojurians,UC-pYfofTyvVDMwM4ttfFGqw
330,Florida Data Science for Social Good (FL-DSSG),UCcXKi-04zVU6g4UpeeNCA6Q
331,WQU Data Science Module,UCW5qH1I2RMA0CnJ0uo7OTvQ
332,"Online Learning SharePoint online , Data Science",UCCVGHzydkUkcrwMjdxsoouQ
333,Vancouver Women in Data Science,UCRLazM0-4DRSTN4an4gv6ZA
334,Carolina Analytics & Data Science,UCO44Yjhjuo5-TLUCAaP0-cQ
335,Data Science UA,UCtMLt48fRjCqiUvKemsDzMw
336,Data science colloquium CFM-ENS,UCAhx5LLlJDi8pTLI2EICKjQ
337,codebasics Hindi,UCTmFBhuhMibVoSfYom1uXEg
338,Open Data Science Initiative,UCUjuEqUQbTrJ11f8nkWltQQ
339,Data Science TV,UC0FfG3bn67bLRBsld6IjXRg
340,Uprising in DataScience,UCIW5oGyAJ6rwo91BDacDqlg
341,Mario Filho,UCIFd_i2iwYox1PPm9rD8wFA
342,Metis Data Science Training,UCpbU53RP134D9qy9GzKBAXA
343,Academic Data Science Alliance,UCd1rcIFUbpF8E907xK62cfQ
344,Data Science Center,UC8GVW7XtwXCHeztZb_MYHbg
345,jonathanwreed,UC9OUJZE2oIwa6rqWSqYoXKw
346,Indian AI Production,UCNzs7V6xG5GO0i_i6Grojyw
348,Data Science Bits,UCRfjUTMaWq85GKqNKa0js6A
349,dfcidatascience,UCGujjX38v6lGOHBEwkPhT_g
351,Data Science for Social Good,UCAcKfCrYIGA3MBjdZIy63ng
354,The Data Science Channel,UCkp0ctv0vCNfh7i7D9GnHhw
355,Learn Data Science with BIET,UCzX-eYwCOHBBxRdu0W58hXg
356,Learn Data Science,UCJhW_16uxALr0X4olEW2p5A
359,Data Science TV,UCaIVkwxOJWzduge0zIp0viQ
361,DATA SCIENCE PROJECT,UC7ZZuAjLHq5RYXtA6Ccm1EQ
362,Frankfurt Data Science,UC69KcsyQvkqcyDsY1xcU7MQ
363,IU Data Science,UC_OR_L6rgJI20QjSWRLBvWA
364,Community Data Science Collective,UCp30xPnzVktEvwEMW6h2eTA
366,Maglytic - Data Science Simplified!,UC1BKeQl3PtqJij-DohJ6JhQ
367,TECHNICAL ASSOCIATION OF DATA SCIENCE-IARE,UCtqdmIEZGMAT3ppXAK-lihw
368,SJC Data Science Trichy,UCQxIgf4aoOxnS30jW3TbIvA
369,Tech86,UCxh6CMevp43uGD8n4QqbDpQ
370,The High ROI Data Scientist,UCkYooZtwK_RJAd9SdL1jfeA
371,Codanics,UCmNXJXWONLNF6bdftGY0Otw
372,Toulouse Data Science,UC_dWVY1oW1RHEpVci2eW-2A
373,Saima Data Science,UCpfpcC77JZ5aNa0_PcHi-JQ
374,Liga de Data Science UNICAMP,UCjDNyveZuHcM6ywy9alwzGg
375,Parag Dhawan,UCFqeqjMPuWyP2lmJx7JIX_w
376,Data Science and AI for Beginners and Kids,UCeibmp6E1k5Eqwwt_nQL87g
377,Shilpa Banerjee,UCXkjl-2zfhw3R6nv9pzctTA
378,learn with AK,UC_C6LlUcicrD0O5dwXHS3Jw
379,Data Science with Morteza,UCFJVz0N2GDpQM8euE-xkKHQ
380,code_your_own_AI,UCfOvNb3xj28SNqPQ_JIbumg
381,Data Science,UCYxBKzSYTal4BJaEZKKYwEQ
384,HaloTech Academy,UC3abfTxNmYKy0U5HfOSL9Zw
387,Introduction to Data Science,UCgpvzMJe9d6_JtpiHeYhjZg
389,Itaú,UC0yw39DOcCOwyUj2uY8vbuA
390,Zürich Machine Learning and Data Science Meetup,UCEjoVUeRe7AmWBrjmeS1VQg
393,Easy Data Science,UCiuoyvVKtsyDyM8N3-JPPPw
394,PASS Data Science Virtual Group,UCqB3xWdwjA9soFV6EOu7qfg
397,HACKTIV8,UCyTOwW6s6zmGGFGmLDkfp2w
398,Data Science,UCpP2EVfi3O2eZgGGgpTegtA
399,Data Science for All,UCo-3_hRV1Zk2dyvcIReeyKg
400,Berkeley Institute for Data Science (BIDS),UCBBd3JxQl455JkWBeulc-9w
401,Simply Data Science,UCALaUVZALq2rLaJDzu_Geiw
402,Data Science by Hadi,UCuUos05DqrTKOsyVfew6BPw
403,R_Py Data Science,UCpHd6O1Yqz4YgcYUBfyRqKg
404,UM Data Science Lab,UCuao6owUe0VOQw0CCw94xQg
409,Alex The Analyst,UC7cs8q-gJRlGwj4A8OmCmXg
411,Automation & Data Science,UCOGLG_-uQco3Z7YGXtbEbEg
413,Escola Data Science ,UC8qxe76RoMFd1AF456GUglQ
420,Stack,UCZ8gRCp3vixlGVAtplCDd5Q
421,Caribbean Data Science,UCrYyWKKNcrabk02nK-WyGsg
428,Data Science Milan,UCs2qF9vC15HL5vQMGhOQZdQ
438,Data Science with Raghav,UC86OgfmVfguW69_0uIEffVQ
439,DASH: Data Science Center in Health,UCwXMKrGJ6LZfsLlypI_d72A
440,运筹OR帷幄(Operation Research China Society),UCytqifJRR_OCOkpq-FYO3YA
441,Data Science Basics,UCgp6nN1scpqtVk68EKCPooA
442,Data Science,UCoEfiAnpSCy6lmJpM_Jkb0w
444,REU Data Science Club,UC19qdYDoI6eHG1apGbaF4EA
445,Data Science Coach,UC3bjbWYK7S_FLW0y0Ux4tyQ
446,Lyon Data Science,UC4NLKb2EhK3JTT45lUbqfHQ
447,UBC's Data Science & Health Cluster,UC7_D0xw6zP_1nu29sUlGQIA
448,Rocketing Data Science,UCUIBKDoSSwehuDK4jk1CjFQ
449,NHL Stenden Computer Vision & Data Science,UCiY2OYO5uETH_be66cKYeag
450,HVL Data Science,UCXIeJjgRJXsBP9ynWToAPsw
451,Man of Data Science,UCPzFrf4rrSOQ98n1QzkdKSA
452,UoM Institute for Data Science & AI,UCao3uVR6s_MaSXkdqLVq7ww
453,emma,UCDukp6v2za1I_8IrOaNlJuw
454,"Institute of Data Science (IDS), NUS",UCY-AZ_4eFcbOgCB4dSQfLlA
455,Data science Community,UCETGt7VbsefoBnlrjdoZmDQ
456,Data Science Institute,UCGpXZDA-OSuoj2knIQdq-zA
457,Data Science Quest,UC4O7eNLXGbpiCEr5VQFHrpQ
458,Data Science Kazakhstan,UC5oQndVv2yGbMc6ew6j-0Vg
459,LU - Data Science Institute,UCbIaCnw5ulNQqLdA4CVZq1Q
460,Андрей Data Science Канашов,UCnFoc_fRVuHzXXTO34d5vXg
461,Sun Devil Data Science,UChELZn8UwqMXVfut6bv0T4A
462,Shashank Kalanithi,UCvZnwzmc3m1Eush-Or8Z6DA
463,Discovery with Data Science,UChvWQJuAeIs6_v5AeJA39gA
464,DC Data Science,UCjoq9T1wspFWtrsYRPFLskw
