,channel_name,subscribers,views,videos,published_date,channel_title,channel_id
336,Polo Club of Data Science,909,67510,125,2016-08-04T00:46:19Z,Polo Club of Data Science,UCGpO97KWw6qb8BATR-AWb1g
338,Data Science Galaxy,1770,18074,25,2020-02-29T06:38:22.8887Z,Data Science Galaxy,UCjG3etyyDCW7vpzJ5szNOIQ
340,Data Science and Programming,591,26554,45,2022-01-12T04:31:33.626856Z,Data Science and Programming,UCGgOwcMzPdO4vd6fes2Eh2Q
342,Women in Data Science,3930,701828,301,2020-07-14T23:01:26.932112Z,Women in Data Science,UCbyzlQEnV1_MYM4Cbp_7eWg
344,Python Soldiers,1020,93695,251,2021-09-01T07:37:06.326878Z,Python Soldiers,UC5ugZocyB5pRFHeSSoMxxzg
346,Mathematics behind Data Science,1080,27728,24,2020-11-12T10:29:21.891463Z,Mathematics behind Data Science,UCPLe2eMlp38SNPKVeaFb9iw
348,Byte Size Data Science,817,39626,91,2018-10-29T22:56:27Z,Byte Size Data Science,UCC00OTwEMHA2jq50m4oJ95g
350,Columbia Data Science Institute,1640,122286,198,2013-06-04T15:36:48Z,Columbia Data Science Institute,UC8LqgjK9f-iMHPN7rvBzVPA
352,CU Boulder Data Science,123,4996,6,2021-04-29T23:52:14.773016Z,CU Boulder Data Science,UCaUZ1BJM35vPZORTLx5wbSQ
354,Data Science Office Hours,5790,29230,17,2018-01-29T16:48:35Z,Data Science Office Hours,UC5c7r0SlnNmPfqxEyni71FA
356,Data Guru - Simplified Data Science,557,32416,36,2020-03-19T13:12:09.248923Z,Data Guru - Simplified Data Science,UC-CHo48db1aZnvBM3G0nbQQ
358,Data Science Bioinformatics,3230,144995,52,2020-11-05T06:48:07.237003Z,Data Science Bioinformatics,UC8HVUWFcUhEGmt_flxUa_9g
360,Dutch Data Science Week,77,8460,45,2017-05-17T11:02:06Z,Dutch Data Science Week,UCHk0pbargtkj528dfmHaHVw
362,UBC Master of Data Science,1050,184596,61,2016-06-22T20:44:57Z,UBC Master of Data Science,UCSJ_h9eR5xIu4fgL8ko-TEA
364,Data Science Tutorials,42400,4494008,905,2015-11-01T13:15:24Z,Data Science Tutorials,UCk5tiFqPvdjsl7yT4mmokmg
365,Data Science Tutorials,42400,4494008,905,2015-11-01T13:15:24Z,Data Science Tutorials,UCH15dz_euC9vs75L6jW9pUg
368,AI & DATA SCIENCE - ERLIN,867,64538,26,2020-03-27T05:53:40.357522Z,AI & DATA SCIENCE - ERLIN,UCJn9qockIqWvwXezjqxXhaA
370,Data Science Mentorship,17,340,12,2022-07-17T00:22:43.382194Z,Data Science Mentorship,UCkLm8ZhK1SbCUJDX7m4BUQw
372,Favrett | Data Science et Machine Learning,192,15220,16,2021-01-31T16:42:46.436195Z,Favrett | Data Science et Machine Learning,UC1QzLIFvIgEsNbOzRnxh-aA
374,Data Science Analytics,8810,908834,68,2018-06-15T16:06:26Z,Data Science Analytics,UCB2p-jaoolkv0h22m4I9l9Q
376,UofU Introduction to Data Science,45,1534,28,2022-01-08T03:55:02.085303Z,UofU Introduction to Data Science,UCKhqODtl1ZAgO6niYNFFGOA
378,taking knowledge,1360,153625,241,2017-10-02T05:37:58Z,taking knowledge,UCn-yeq4Hdm-SRh_qUyrajWQ
380,Muhammad Ali Mughal,19900,983897,161,2015-02-09T14:14:30Z,Muhammad Ali Mughal,UCIp6Gs5oDdxf9yVzA5G-Qvw
382,Data Science NPRU,3290,276491,127,2019-12-21T22:34:42.686446Z,Data Science NPRU,UCkTCgpdKOKNBUHcEQMWtBbQ
384,Data Science with Charaf,46,1859,12,2021-09-26T23:52:58.169698Z,Data Science with Charaf,UCH-KCa4tQxPIbnSqkXZ4_ow
386,UofU Data Science,2680,265430,1446,2014-09-03T16:47:44Z,UofU Data Science,UCDUS80bdunpmvWVPyFRPqFQ
388,Seja Um Data Scientist,65100,2864802,176,2020-03-29T17:32:25.11302Z,Seja Um Data Scientist,UCar5Cr-pVz08GY_6I3RX9bA
390,UW MS in Data Science,94,4173,22,2020-01-23T20:45:57.368901Z,UW MS in Data Science,UC1WrUz9nyozSBJCYJ9meB1w
392,Belajar Data Science DQLab,9790,195274,76,2018-04-25T05:29:20Z,Belajar Data Science DQLab,UCG6EAEw83Lh202HmV8yXeAw
